strain	issue_num	branch	additional_info	url
France/GES-IPP16300/2023|EPI_ISL_18076084|2023-07-10	#984	1		https://github.com/sars-cov-2-variants/lineage-proposals/issues/984
France/PAC-HCL723000936001/2023|EPI_ISL_18228989|2023-08-07	#984	2		https://github.com/sars-cov-2-variants/lineage-proposals/issues/984
Belgium/UGent-1524/2023|EPI_ISL_18403134|2023-10-01	#984	3		https://github.com/sars-cov-2-variants/lineage-proposals/issues/984
Denmark/DCGC-661082/2023|EPI_ISL_18377615|2023-09-25	#984	3		https://github.com/sars-cov-2-variants/lineage-proposals/issues/984
Belgium/AZDelta-2339-05890/2023|EPI_ISL_18377381|2023-09-25	#947			https://github.com/sars-cov-2-variants/lineage-proposals/issues/947
Spain/CT-HUVH-M26038/2023|EPI_ISL_18332325|2023-09-20	#947			https://github.com/sars-cov-2-variants/lineage-proposals/issues/947
Belgium/AZDelta-2340-02136/2023|EPI_ISL_18377392|2023-10-02	#947			https://github.com/sars-cov-2-variants/lineage-proposals/issues/947
Belgium/AZDelta-2340-02185/2023|EPI_ISL_18377400|2023-10-02	#947			https://github.com/sars-cov-2-variants/lineage-proposals/issues/947
Canada/ON-PHL-23-32916/2023|EPI_ISL_18344833	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
England/CLIMB-CM7YGHTK/2023|EPI_ISL_18362345	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
England/CLIMB-CM7YE56H/2023|EPI_ISL_18373437	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
England/CLIMB-CM7YMJCS/2023|EPI_ISL_18373446	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
Spain/AN-PMC-37522/2023|EPI_ISL_18391371	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
Spain/AN-PMC-37524/2023|EPI_ISL_18391372	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
Spain/AN-PMC-37525/2023|EPI_ISL_18391373	#975			https://github.com/sars-cov-2-variants/lineage-proposals/issues/975
